, Cause, Effect,Label,Topic_Cause,Topic_Effect,5w1h_effect,5w1h_cause,llm_class
452,reduced tax incentives [404],lower revenue for multinational companies [43],non_causal,1_government_in_increase_spending,0_for_of_business_and,"{'Who': 'Multinational companies', 'What': 'Experiencing lower revenue', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Reduced tax incentives', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",causal
453,increase in taxes [181],promote local business and foreign investment [263],non_causal,1_government_in_increase_spending,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Promote local business and foreign investment', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increase in taxes', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
454,restrictions to clients to expand their businesses infrastructure [252],substituting or adjacent industries prevailing [94],non_causal,-1_in_and_to_increased,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Substituting or adjacent industries prevailing', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Restrictions are being placed on clients to allow them to expand their business infrastructure.', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
455,promote local business [240],substituting or adjacent industries prevailing [94],non_causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Substituting or adjacent industries prevailing', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Promote local businesses', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
456,increased motivation for entrepreneurs [109],increased competition [166],non_causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Increased competition', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Entrepreneurs', 'What': 'Increased motivation', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
457,increased government IT spending [332],lower aggregate supply [176],non_causal,1_government_in_increase_spending,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Lower aggregate supply', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Government', 'What': 'Increased IT spending', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
458,increase in personal identify theft attacks [212],unfavorable law passed [135],non_causal,-1_in_and_to_increased,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'An unfavorable law was passed', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Individuals', 'What': 'Increase in personal identity theft attacks', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
459,decreased government spending [174],outpaced currency black market exchange rate [40],non_causal,1_government_in_increase_spending,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Outpaced currency black market exchange rate', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Government', 'What': 'Decreased spending', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
460,unfavorable uses of data by providers and businesses [213],increased talent in workforce [77],non_causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Increased talent in the workforce', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Data providers and businesses', 'What': 'Unfavorable uses of data', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
461,call for new social programs [228],"increased speed efficiency, and lower cost [11]",non_causal,1_government_in_increase_spending,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Increased speed efficiency and lowered cost', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Call for new social programs', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
462,decrease in data privacy regulations [297],reduced tax incentives [404],non_causal,-1_in_and_to_increased,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Reduced tax incentives', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decrease in data privacy regulations', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
463,change in business strategy to meet a changing demand [296],increase in corruption [136],non_causal,0_for_of_business_and,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Increase in corruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Change in business strategy', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'To meet a changing demand', 'How': 'Not mentioned'}",non_causal
464,growing tax revenue [324],decrease in consumer and investor spending [108],non_causal,1_government_in_increase_spending,-1_in_and_to_increased,"{'Who': 'Consumers and investors', 'What': 'Decrease in spending', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Growing tax revenue', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
465,increase in bribery [137],self sufficiency to protect from being too exposed (global recession) [261],non_causal,-1_in_and_to_increased,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Achieving self-sufficiency as a protective measure against global recession.', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'To protect from being too exposed to a global recession.', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increase in bribery', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
466,increased risk of cyber attacks [19],offshore services become advantageous [82],non_causal,-1_in_and_to_increased,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Offshore services become advantageous', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increased risk of cyber attacks', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
467,improved competitiveness [30],reduced demand for commodity [92],non_causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Reduced demand for a commodity', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Improved competitiveness', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",causal
468,increased irregular tide and current and wave data (patterns) [318],decreased investor and consumer confidence [198],non_causal,-1_in_and_to_increased,-1_in_and_to_increased,"{'Who': 'Investors and consumers', 'What': 'Decreased confidence', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increased irregular tide, current, and wave data patterns', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
469,increased supplier competition around commodity [95],cheaper FX rate benefits net importer country [32],non_causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Net importer countries', 'What': 'Benefit from cheaper foreign exchange rates', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Cheaper FX rates reduce the cost of importing goods and services.', 'How': 'Not mentioned'}","{'Who': 'Suppliers', 'What': 'Increased competition', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
470,competitive FX rate benefits net exporter country [49],decreased tourism [175],non_causal,0_for_of_business_and,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Decreased tourism', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Net exporter countries', 'What': 'Benefit from competitive foreign exchange rates', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
471,decreased government spending [174],favorable official(political figurehead) or party elected [262],non_causal,1_government_in_increase_spending,1_government_in_increase_spending,"{'Who': 'Political figureheads and parties', 'What': 'Election of favorable officials or party members', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Government', 'What': 'Decreased spending', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
472,decrease in price of commodity [91],"government open to foreign IT support, regulations in place [379]",non_causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'The government', 'What': 'Open to receiving foreign IT support', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Regulations are in place'}","{'Who': 'Not mentioned', 'What': 'Decrease in price of a commodity', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
473,increased cost of transportation (oil) [219],"decrease in government spending (infrastructure, education, public benefits) [114]",non_causal,0_for_of_business_and,1_government_in_increase_spending,"{'Who': 'Government', 'What': 'Decrease in government spending', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increased cost of transportation due to oil prices', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
474,dumping by foreign firms at prices below cost [257],lower aggregate supply [176],non_causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Lower aggregate supply', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Foreign firms', 'What': 'Dumping goods at prices below cost', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",causal
475,currency depreciation against US dollar [39],increased irregular geological data [315],non_causal,0_for_of_business_and,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Increased irregular geological data', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Currency depreciation against the US dollar', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
476,decreased government spending [174],lack of respect for authority [196],non_causal,1_government_in_increase_spending,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Lack of respect for authority', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Government', 'What': 'Decreased spending', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
477,increasing government and political stability [64],changing market driving the needs for new business model [15],non_causal,1_government_in_increase_spending,0_for_of_business_and,"{'Who': 'Businesses', 'What': 'Changing market conditions are driving the need for new business models.', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Changing market conditions', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increasing government and political stability', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
478,change in business strategy to meet a changing demand [296],disadvantaged FX rate hurts net importer country [396],non_causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Net importer countries', 'What': 'Disadvantaged foreign exchange rate hurting economy', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Change in business strategy', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'To meet a changing demand', 'How': 'Not mentioned'}",non_causal
479,increasing government and political stability [64],lower profits for local and multinational businesses [101],non_causal,1_government_in_increase_spending,0_for_of_business_and,"{'Who': 'Local and multinational businesses', 'What': 'Lower profits', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increasing government and political stability', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
480,higher aggregate supply [184],decreased business productivity [270],non_causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Decreased business productivity', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Higher aggregate supply', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
481,change in consumer interest and needs [283],easy to repatriate cash [62],non_causal,-1_in_and_to_increased,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Repatriating cash is easy', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Consumers', 'What': 'Change in consumer interest and needs', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
482,changing market driving the needs for new business model [15],decreased government spending [174],non_causal,0_for_of_business_and,1_government_in_increase_spending,"{'Who': 'Government', 'What': 'Decreased spending', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Businesses', 'What': 'Changing market conditions are driving the need for new business models.', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Changing market conditions', 'How': 'Not mentioned'}",non_causal
483,self sufficiency to protect from being too exposed (global recession) [261],radical political party or official elected [195],non_causal,-1_in_and_to_increased,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Not mentioned', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Achieving self-sufficiency as a protective measure against global recession.', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'To protect from being too exposed to a global recession.', 'How': 'Not mentioned'}",non_causal
484,decreased business productivity [270],protecting large declining or bankrupt industries [242],non_causal,0_for_of_business_and,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Protecting large declining or bankrupt industries', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decreased business productivity', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
485,increase cost of burden on multinational data providers [200],increased supplier competition around commodity [95],non_causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Suppliers', 'What': 'Increased competition', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Multinational data providers', 'What': 'Increase in cost of burden', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
486,employee safety [311],maturity of ecosystem and business partners [291],non_causal,1_government_in_increase_spending,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Discussion of the maturity of an ecosystem and its business partners', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Employee safety is discussed.', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
487,self sufficiency to protect from being too exposed (global recession) [261],decreased talent in workforce [115],non_causal,-1_in_and_to_increased,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Decreased talent in the workforce', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Achieving self-sufficiency as a protective measure against global recession.', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'To protect from being too exposed to a global recession.', 'How': 'Not mentioned'}",non_causal
488,exchange rate outlook is negative [42],decreased local protectionism [118],non_causal,0_for_of_business_and,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Decreased local protectionism', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Economists', 'What': 'Forecast a negative outlook for exchange rates', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
489,strict environmental regulation [250],promote local business [240],non_causal,-1_in_and_to_increased,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Promote local businesses', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Strict environmental regulation', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
490,increased government IT spending [332],increased cyber attacks [210],non_causal,1_government_in_increase_spending,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Increased cyber attacks', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Government', 'What': 'Increased IT spending', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
491,decreased local protectionism [118],increase consumer spending [112],non_causal,-1_in_and_to_increased,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Increase consumer spending', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decreased local protectionism', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
492,new competitors [2],increased dependency on devices (e.g. IoT) [18],non_causal,0_for_of_business_and,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Increased dependency on devices like IoT', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'New competitors are entering the market.', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
493,increase in bribery [137],increase in movement of tectonic plates [317],non_causal,-1_in_and_to_increased,-1_in_and_to_increased,"{'Who': 'Tectonic plates', 'What': 'Increase in movement', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increase in bribery', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
494,dumping by foreign firms at prices below cost [257],technology products reducing in price [158],non_causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Technology products are reducing in price', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Foreign firms', 'What': 'Dumping goods at prices below cost', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",causal
495,request positive balance of trade [368],protecting large declining or bankrupt industries [242],non_causal,0_for_of_business_and,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Protecting large declining or bankrupt industries', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Request for a positive balance of trade', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
496,disruptive technologies [152],increased motivation for businesses to outsource work [236],non_causal,-1_in_and_to_increased,0_for_of_business_and,"{'Who': 'Businesses', 'What': 'Increased motivation to outsource work', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Disruptive technologies are discussed.', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
497,reduced regulations and production quotas on commodities [122],exchange outlook is positive [29],non_causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Exchange outlook is positive', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Reduced regulations and production quotas on commodities', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
498,weakening economic environment [309],foreign data providers dominate market [208],non_causal,1_government_in_increase_spending,0_for_of_business_and,"{'Who': 'Foreign data providers', 'What': 'Dominate the market', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Weakening economic environment', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
499,increased irregular weather data (patterns) [316],increase in possibility of FCPA violation [189],non_causal,-1_in_and_to_increased,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Increase in possibility of FCPA violation', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increased irregular weather patterns', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
500,country in state of war [226],higher international reserves [384],non_causal,-1_in_and_to_increased,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Higher international reserves', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Country is in a state of war', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
501,commoditizing of specific technologies [157],potential innovation for substitute or less expensive product [222],non_causal,-1_in_and_to_increased,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Potential innovation for a substitute or less expensive product', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Commoditization of specific technologies', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
502,local corporations purchasing power increase [335],exchange outlook is positive [29],non_causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Exchange outlook is positive', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Local corporations', 'What': 'Purchasing power increase', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
503,higher revenue for multinational companies [23],change in consumer interest and needs [283],non_causal,0_for_of_business_and,-1_in_and_to_increased,"{'Who': 'Consumers', 'What': 'Change in consumer interest and needs', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Multinational companies', 'What': 'Experience higher revenue', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
504,decrease in corruption [59],temporarily loss of business [314],non_causal,1_government_in_increase_spending,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Temporary loss of business', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decrease in corruption', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",causal
505,currency appreciation against US dollar [22],decreasing government and political stability [131],non_causal,0_for_of_business_and,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Decreasing government and political stability', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Currency appreciation against US dollar', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
506,decreased tourism [175],increased competition [166],non_causal,-1_in_and_to_increased,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Increased competition', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decreased tourism', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
507,low price levels of goods and services [26],higher unemployment rates for domestic unskilled workers [237],non_causal,0_for_of_business_and,1_government_in_increase_spending,"{'Who': 'Domestic unskilled workers', 'What': 'Higher unemployment rates', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Low price levels of goods and services', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
508,increased motivation for businesses to outsource work [236],decreased government spending [174],non_causal,0_for_of_business_and,1_government_in_increase_spending,"{'Who': 'Government', 'What': 'Decreased spending', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Businesses', 'What': 'Increased motivation to outsource work', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
509,decreased cost of doing business [97],high geographic disaster exposure [319],non_causal,0_for_of_business_and,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'High geographic disaster exposure', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Decreased cost of doing business', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
